timestamp,x,y
1737953308.5834622,352,164
1737953308.5894673,338,158
1737953308.6716835,355,163
1737953308.6716835,275,162
1737953308.6993685,272,163
1737953308.7391348,272,163
1737953308.769517,355,161
1737953308.769517,276,161
1737953308.811433,355,165
1737953308.811433,272,167
1737953308.8454041,248,135
1737953308.8454041,353,168
1737953308.8454041,353,167
1737953308.8794935,353,168
1737953308.8794935,357,167
1737953308.8794935,253,117
1737953308.9134133,352,166
1737953308.9134133,352,166
1737953308.949427,353,166
1737953308.9504316,353,166
1737953308.9894059,355,166
1737953309.021059,270,164
1737953309.021059,356,165
1737953309.0599842,357,164
1737953309.0599842,272,165
1737953309.0897653,358,163
1737953309.0897653,273,165
1737953309.1291363,359,162
1737953309.1291363,358,162
1737953309.1291363,250,133
1737953309.1291363,274,165
1737953309.160245,358,162
1737953309.1941273,358,162
1737953309.1991332,274,164
1737953309.2291582,359,161
1737953309.2291582,278,163
1737953309.2291582,359,160
1737953309.260352,359,161
1737953309.260352,359,160
1737953309.260352,279,161
1737953309.2894046,359,161
1737953309.2992306,359,160
1737953309.2992306,279,161
1737953309.329093,360,160
1737953309.329093,281,161
1737953309.360511,360,160
1737953309.360511,281,161
1737953309.3990355,360,160
1737953309.3990355,281,160
1737953309.3990355,276,162
1737953309.4290338,281,160
1737953309.4290338,360,160
1737953309.4692557,360,161
1737953309.4692557,281,160
1737953309.499449,361,160
1737953309.499449,282,159
1737953309.541092,361,160
1737953309.541092,282,159
1737953309.5892665,361,160
1737953309.5892665,282,160
1737953309.6242676,282,160
1737953309.6242676,361,161
1737953309.6694307,282,160
1737953309.6694307,361,161
1737953309.6989875,361,161
1737953309.6989875,283,160
1737953309.734303,283,160
1737953309.734303,361,162
1737953309.7690148,283,161
1737953309.7690148,362,162
1737953309.8042212,282,161
1737953309.8042212,361,162
1737953309.8393002,282,161
1737953309.8393002,361,163
1737953309.8393002,361,163
1737953309.869312,282,162
1737953309.869312,361,164
1737953309.9192762,281,163
1737953309.9192762,359,164
1737953309.9192762,359,164
1737953309.9575126,280,162
1737953309.9575126,360,164
1737953309.9992526,280,162
1737953309.9992526,359,164
1737953309.9992526,359,164
1737953310.0543056,280,163
1737953310.0543056,359,164
1737953310.101585,280,163
1737953310.101585,359,165
1737953310.1493595,279,163
1737953310.1508837,359,165
1737953310.1944077,279,163
1737953310.1944077,359,165
1737953310.1944077,359,164
1737953310.2292774,359,165
1737953310.2292774,273,166
1737953310.2793784,279,164
1737953310.2793784,359,166
1737953310.3293712,273,169
1737953310.3293712,359,168
1737953310.361262,360,168
1737953310.361262,272,169
1737953310.3993614,360,168
1737953310.3993614,273,170
1737953310.4494033,273,170
1737953310.4494033,360,169
1737953310.4995594,360,169
1737953310.4995594,280,166
1737953310.5292177,360,168
1737953310.5292177,280,167
1737953310.561516,280,166
1737953310.561516,360,168
1737953310.599385,360,168
1737953310.599385,280,167
1737953310.6293492,360,168
1737953310.6293492,280,167
1737953310.66908,280,166
1737953310.66908,359,167
1737953310.6993756,359,167
1737953310.6993756,279,165
1737953310.7291837,359,166
1737953310.7291837,279,165
1737953310.7695997,358,166
1737953310.7695997,279,165
1737953310.7994692,358,165
1737953310.7994692,278,164
1737953310.8342893,358,165
1737953310.8342893,278,164
1737953310.8696105,358,165
1737953310.8696105,278,164
1737953310.8991897,358,165
1737953310.8991897,278,164
1737953310.940452,278,164
1737953310.940452,358,164
1737953310.9703205,358,164
1737953310.9794555,278,163
1737953311.0142546,358,163
1737953311.0142546,278,163
1737953311.044166,358,163
1737953311.044166,278,163
1737953311.0893567,278,163
1737953311.0893567,358,163
1737953311.1292367,279,162
1737953311.1292367,358,163
1737953311.162343,279,162
1737953311.162343,358,163
1737953311.1991434,358,163
1737953311.1991434,278,162
1737953311.2295182,358,163
1737953311.2295182,278,162
1737953311.269314,279,162
1737953311.269314,358,162
1737953311.3343122,263,160
1737953311.3343122,359,163
1737953311.3343122,387,119
1737953311.384354,279,162
1737953311.384354,359,162
1737953311.409587,359,163
1737953311.4195046,279,162
1737953311.4545517,359,162
1737953311.4545517,263,160
1737953311.4545517,359,162
1737953311.4892302,359,162
1737953311.4892302,279,162
1737953311.5193617,359,162
1737953311.5193617,279,162
1737953311.549411,359,162
1737953311.549411,279,162
1737953311.589696,359,162
1737953311.589696,279,162
1737953311.6197028,360,161
1737953311.6197028,281,160
1737953311.659457,360,161
1737953311.659457,282,160
1737953311.7093713,360,161
1737953311.7093713,282,160
1737953311.7395492,360,161
1737953311.7395492,282,160
1737953311.7696238,360,161
1737953311.7696238,281,160
1737953311.7696238,359,160
1737953311.8095284,281,160
1737953311.8095284,360,161
1737953311.8393385,281,160
1737953311.8393385,360,161
1737953311.8793883,360,160
1737953311.8793883,281,160
1737953311.9094872,360,161
1737953311.9094872,281,160
1737953311.9351325,360,165
1737953311.9694536,246,127
1737953311.9694536,354,168
1737953312.0031753,247,136
1737953312.0031753,353,167
1737953312.0031753,353,167
1737953312.0393226,358,165
1737953312.0393226,353,165
1737953312.0715873,358,163
1737953312.0715873,358,163
1737953312.1102219,358,161
1737953312.1102219,358,161
1737953312.1112223,279,164
1737953312.1442945,358,161
