timestamp,x,y
1737953308.5834622,317,161
1737953308.5894673,317,161
1737953308.6716835,316,161
1737953308.6716835,315,161
1737953308.6993685,314,161
1737953308.7391348,314,161
1737953308.769517,313,161
1737953308.769517,314,160
1737953308.811433,314,160
1737953308.811433,316,160
1737953308.845404,318,160
1737953308.845404,320,160
1737953308.845404,322,160
1737953308.8794937,324,160
1737953308.8794937,326,160
1737953308.8794937,328,160
1737953308.9134133,329,160
1737953308.9134133,330,161
1737953308.949427,331,161
1737953308.9504316,330,161
1737953308.989406,330,162
1737953309.021059,329,162
1737953309.021059,328,162
1737953309.0599842,326,162
1737953309.0599842,325,161
1737953309.0897653,324,161
1737953309.0897653,323,161
1737953309.1291363,322,161
1737953309.1291363,321,160
1737953309.1291363,321,160
1737953309.1291363,321,160
1737953309.160245,322,160
1737953309.194127,323,160
1737953309.1991332,324,160
1737953309.2291582,325,160
1737953309.2291582,326,160
1737953309.2291582,327,160
1737953309.260352,327,160
1737953309.260352,327,160
1737953309.260352,327,160
1737953309.2894046,326,160
1737953309.2992306,325,160
1737953309.2992306,324,160
1737953309.329093,323,160
1737953309.329093,321,160
1737953309.360511,320,160
1737953309.360511,319,160
1737953309.3990357,318,160
1737953309.3990357,317,160
1737953309.3990357,317,160
1737953309.4290338,317,160
1737953309.4290338,317,160
1737953309.4692557,317,160
1737953309.4692557,318,160
1737953309.499449,318,160
1737953309.499449,318,160
1737953309.541092,318,160
1737953309.541092,319,160
1737953309.5892663,319,160
1737953309.5892663,319,160
1737953309.6242676,319,160
1737953309.6242676,319,160
1737953309.6694307,319,160
1737953309.6694307,320,160
1737953309.6989875,320,160
1737953309.6989875,320,160
1737953309.734303,321,161
1737953309.734303,321,161
1737953309.7690148,322,161
1737953309.7690148,323,161
1737953309.8042212,323,161
1737953309.8042212,324,161
1737953309.8393002,325,162
1737953309.8393002,325,162
1737953309.8393002,326,162
1737953309.869312,326,162
1737953309.869312,327,162
1737953309.9192762,327,162
1737953309.9192762,327,163
1737953309.9192762,327,163
1737953309.9575126,327,163
1737953309.9575126,326,163
1737953309.9992526,326,163
1737953309.9992526,326,163
1737953309.9992526,325,163
1737953310.0543056,325,163
1737953310.0543056,325,163
1737953310.101585,324,163
1737953310.101585,324,164
1737953310.1493597,324,164
1737953310.1508837,324,164
1737953310.1944077,324,164
1737953310.1944077,323,164
1737953310.1944077,323,165
1737953310.2292774,322,165
1737953310.2292774,322,165
1737953310.2793784,321,166
1737953310.2793784,321,166
1737953310.3293712,320,166
1737953310.3293712,320,167
1737953310.361262,319,167
1737953310.361262,319,167
1737953310.3993614,319,167
1737953310.3993614,318,167
1737953310.4494033,318,167
1737953310.4494033,318,167
1737953310.4995594,318,167
1737953310.4995594,318,167
1737953310.5292175,319,167
1737953310.5292175,319,167
1737953310.561516,319,167
1737953310.561516,319,167
1737953310.599385,319,167
1737953310.599385,319,167
1737953310.6293492,320,166
1737953310.6293492,320,166
1737953310.66908,320,166
1737953310.66908,320,166
1737953310.6993756,320,166
1737953310.6993756,320,166
1737953310.7291837,319,165
1737953310.7291837,319,165
1737953310.7695997,319,165
1737953310.7695997,319,165
1737953310.7994692,318,165
1737953310.7994692,318,164
1737953310.8342893,317,164
1737953310.8342893,317,164
1737953310.8696103,317,164
1737953310.8696103,317,164
1737953310.8991897,317,164
1737953310.8991897,317,164
1737953310.940452,317,163
1737953310.940452,316,163
1737953310.9703205,316,163
1737953310.9794557,316,163
1737953311.0142546,316,163
1737953311.0142546,316,163
1737953311.044166,316,163
1737953311.044166,316,163
1737953311.089357,316,162
1737953311.089357,317,162
1737953311.1292367,317,162
1737953311.1292367,317,162
1737953311.162343,318,162
1737953311.162343,318,161
1737953311.1991434,319,161
1737953311.1991434,319,161
1737953311.2295182,320,160
1737953311.2295182,320,160
1737953311.269314,321,159
1737953311.269314,322,159
1737953311.3343122,323,158
1737953311.3343122,324,158
1737953311.3343122,324,158
1737953311.384354,325,158
1737953311.384354,325,158
1737953311.409587,325,159
1737953311.4195046,325,159
1737953311.4545517,325,159
1737953311.4545517,325,160
1737953311.4545517,324,160
1737953311.4892302,323,160
1737953311.4892302,323,161
1737953311.5193615,322,161
1737953311.5193615,322,161
1737953311.549411,321,161
1737953311.549411,321,161
1737953311.589696,320,161
1737953311.589696,320,161
1737953311.6197028,320,161
1737953311.6197028,320,161
1737953311.659457,320,160
1737953311.659457,320,160
1737953311.709371,320,160
1737953311.709371,321,160
1737953311.7395492,321,160
1737953311.7395492,321,160
1737953311.7696238,321,160
1737953311.7696238,321,160
1737953311.7696238,322,160
1737953311.8095284,322,159
1737953311.8095284,322,159
1737953311.8393383,322,159
1737953311.8393383,322,159
1737953311.8793883,322,158
1737953311.8793883,322,158
1737953311.9094872,322,158
1737953311.9094872,322,158
1737953311.9351325,323,158
1737953311.9694536,324,158
1737953311.9694536,326,158
1737953312.0031753,327,158
1737953312.0031753,329,159
1737953312.0031753,331,159
1737953312.0393226,332,160
1737953312.0393226,333,160
1737953312.071587,333,160
1737953312.071587,333,161
1737953312.110222,331,161
1737953312.110222,329,161
1737953312.1112225,327,161
1737953312.1442945,324,161
1737953312.1442945,322,161
1737953312.1442945,319,161
1737953312.1791654,317,160
1737953312.1791654,315,160
1737953312.2093308,314,160
1737953312.2093308,312,159
1737953312.2494936,311,159
1737953312.2494936,310,159
1737953312.2793207,309,159
1737953312.2793207,309,158
1737953312.2793207,309,158
1737953312.2793207,309,158
